Donnelly,Tracey,DarkSlateBlue,1925-08-03,Female,1962-08-30,3,PT
Glover,Patsy,DimGrey,1975-06-27,Female,2007-12-24,9,PT
Schaden,Aglae,SpringGreen,1931-05-29,Male,1982-06-28,2,FT
Friesen,Kianna,Beige,1947-04-22,Male,1993-11-28,2,FT
Predovic,Cali,,1950-08-14,Male,2016-07-20,3,FT
Wisozk,Robb,,1983-06-19,Female,2011-02-15,6,FT
Dare,Rogelio,Magenta,1922-04-23,Male,1963-03-17,2,PT
Harris,Waldo,,1967-06-03,Female,1993-12-05,2,FT
Huel,Friedrich,,1985-01-30,Male,2017-10-31,4,FT
Kihn,Kelley,MidnightBlue,1964-01-16,Male,1989-05-04,7,PT
Jacobi,Stone,,1996-09-08,Female,2020-11-23,2,FT
Cassin,Joel,,1998-09-03,Female,2018-09-21,8,FT
Quigley,Allen,,1941-10-13,Male,1984-01-09,8,FT
Carter,Loyal,,1989-03-10,Female,2020-06-05,9,PT
Sauer,Annetta,,1924-09-10,Male,2015-04-14,6,PT
Connelly,Fritz,,1956-03-08,Female,1976-11-29,3,FT
Kuvalis,Silas,,1991-08-16,Female,2012-09-05,1,FT
Nitzsche,Jacklyn,,1988-04-13,Male,2015-07-24,7,FT
Ritchie,Kari,DarkRed,1982-06-10,Male,2013-01-21,7,PT
Barton,Efren,,1970-01-11,Male,1998-03-29,7,PT
Reichert,Sidney,,1973-08-21,Male,2020-03-31,9,PT
Maggio,Bobby,RoyalBlue,1966-05-23,Female,2016-11-25,8,PT
Runolfsson,Rafaela,Coral,1951-02-02,Female,1987-12-19,1,FT
Frami,Maverick,,1976-01-11,Female,2008-12-06,8,FT
Langworth,Annabel,,1996-11-19,Female,2017-04-30,1,PT
McGlynn,Reagan,YellowGreen,1955-03-29,Male,1982-09-14,6,FT
DuBuque,Vernie,,1996-10-28,Female,2017-06-26,6,FT
Parker,Christophe,,1994-02-04,Female,2018-06-30,3,FT
Koch,Angela,Bisque,1999-07-06,Female,2019-03-11,2,FT
Romaguera,Dane,,1940-04-10,Male,1973-09-23,3,PT
Weissnat,Reta,DarkCyan,1944-04-07,Female,1991-03-25,3,PT
Leffler,Adrien,Purple,1976-03-15,Female,2002-02-14,2,PT
Cruickshank,Clement,,1956-11-01,Female,1990-09-29,3,PT
Franecki,Lue,MediumTurquoise,1971-01-23,Male,1995-09-03,3,PT
Dickinson,Deshawn,,1952-10-05,Male,2002-12-16,2,FT
